PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;102;83;28079102_83_98;2022;02;11;7.4;V;6.7;V;5;V;4.8;V;5;V;4;V;3.7;V;5;V;5.3;V;6.1;V;7.8;V;10.2;V;11.6;V;11.8;V;12.8;V;14.5;V;14.3;V;13.6;V;11.5;V;10.2;V;9.5;V;9;V;8.6;V;7.6;V
28;079;102;83;28079102_83_98;2022;02;12;7.1;V;6.5;V;5.8;V;5.3;V;4.7;V;3.8;V;3.4;V;3.7;V;4;V;4.2;V;5.7;V;7.5;V;9;V;10.7;V;11.9;V;11.4;V;12;V;11.6;V;11.1;V;10.8;V;10.4;V;10;V;00000;N;00000;N
28;079;102;83;28079102_83_98;2022;02;13;7.9;V;7.4;V;6.6;V;5;V;4.5;V;4.1;V;4.1;V;4.2;V;3.8;V;4.4;V;5.5;V;7.9;V;8.7;V;8.9;V;9.8;V;9.8;V;9.3;V;8.7;V;8.2;V;7.6;V;7.2;V;7;V;6.3;V;5.8;V
28;079;102;83;28079102_83_98;2022;02;14;5.5;V;5.3;V;4.6;V;4.7;V;4.8;V;4.4;V;4.3;V;4;V;4.7;V;6.1;V;6.4;V;7.1;V;7.2;V;8.1;V;8.8;V;8.7;V;9.1;V;9;V;6.7;V;5.2;V;4.8;V;5.1;V;5.4;V;5;V
28;079;102;83;28079102_83_98;2022;02;15;5.4;V;4.9;V;5.3;V;4.3;V;3.7;V;3.1;V;2.4;V;3.3;V;5;V;7;V;8.7;V;7.1;V;7;V;8.7;V;9.7;V;10.3;V;10.4;V;9.9;V;9;V;8.1;V;7.6;V;6.6;V;6.2;V;5.6;V
28;079;102;83;28079102_83_98;2022;02;16;5.4;V;5.4;V;6;V;4.8;V;7;V;5.9;V;6.1;V;4.3;V;3.6;V;3.8;V;7.3;V;9.7;V;10.3;V;11.8;V;12.5;V;11.9;V;11.3;V;10.5;V;10.1;V;9.5;V;9.1;V;8.9;V;8.7;V;8.4;V
28;079;102;83;28079102_83_98;2022;02;17;7;V;6.3;V;6.2;V;5.4;V;5.2;V;3.7;V;2.9;V;3.7;V;4.2;V;5.2;V;6.9;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;102;83;28079102_83_98;2022;02;20;2.3;N;1.6;V;1.4;V;1.1;V;1.3;V;0.5;V;0.2;V;-0.2;V;0.7;V;1.9;V;3.1;V;4.6;V;7.4;V;8.7;V;10.7;V;11.5;V;11.9;V;12.2;V;11.5;V;10.6;V;10.1;V;9.2;V;8.6;V;8.1;V
28;079;102;83;28079102_83_98;2022;02;21;6.5;V;5.9;V;5.9;V;4.5;V;2.8;V;3.2;V;3.7;V;3;V;2.7;V;4.3;V;7.7;V;11;V;11.7;V;13.2;V;13.8;V;14.7;V;15;V;14.6;V;13.5;V;12;V;11.1;V;10.5;V;10;V;8.2;V
28;079;102;83;28079102_83_98;2022;02;22;7.8;V;7.3;V;6.9;V;6.7;V;5.6;V;4.5;V;3.6;V;3.8;V;4.4;V;5.8;V;8;V;9.7;V;11.7;V;13.9;V;15.8;V;16.5;V;17;V;16.4;V;15.7;V;14.5;V;12.8;V;11.7;V;10.5;V;9.6;V
